SystemCodeNumber,Capacity,Occupancy,LastUpdated,Occupancy Rate (%)
BHMBCCMKT01,577,61,2016-10-04 7:59:42,10.57
BHMBCCMKT01,577,64,2016-10-04 8:25:42,11.09
BHMBCCMKT01,577,80,2016-10-04 8:59:42,13.86
BHMBCCMKT01,577,107,2016-10-04 9:32:46,18.54
BHMBCCMKT01,577,150,2016-10-04 9:59:48,26
BHMBCCMKT01,577,177,2016-10-04 10:26:49,30.68
BHMBCCMKT01,577,219,2016-10-04 10:59:48,37.95
BHMBCCMKT01,577,247,2016-10-04 11:25:47,42.81
BHMBCCMKT01,577,259,2016-10-04 11:59:44,44.89
BHMBCCMKT01,577,266,2016-10-04 12:29:45,46.1
BHMBCCMKT01,577,269,2016-10-04 13:02:48,46.62
BHMBCCMKT01,577,263,2016-10-04 13:29:45,45.58
BHMBCCMKT01,577,238,2016-10-04 14:02:47,41.25
BHMBCCMKT01,577,215,2016-10-04 14:29:49,37.26
BHMBCCMKT01,577,192,2016-10-04 14:57:13,33.28
BHMBCCMKT01,577,165,2016-10-04 15:30:14,28.6
BHMBCCMKT01,577,162,2016-10-04 16:04:12,28.08
BHMBCCMKT01,577,143,2016-10-04 16:31:14,24.78
BHMBCCMKT01,577,54,2016-10-05 7:57:17,9.36
BHMBCCMKT01,577,59,2016-10-05 8:30:15,10.23
BHMBCCMKT01,577,71,2016-10-05 9:04:19,12.31
BHMBCCMKT01,577,83,2016-10-05 9:30:15,14.38
BHMBCCMKT01,577,114,2016-10-05 10:04:15,19.76
BHMBCCMKT01,577,128,2016-10-05 10:30:17,22.18
BHMBCCMKT01,577,148,2016-10-05 11:04:19,25.65
BHMBCCMKT01,577,162,2016-10-05 11:30:18,28.08
BHMBCCMKT01,577,178,2016-10-05 12:04:14,30.85
BHMBCCMKT01,577,183,2016-10-05 12:30:16,31.72
BHMBCCMKT01,577,175,2016-10-05 12:57:15,30.33
BHMBCCMKT01,577,179,2016-10-05 13:30:19,31.02
BHMBCCMKT01,577,174,2016-10-05 13:57:20,30.16
BHMBCCMKT01,577,158,2016-10-05 14:30:17,27.38
BHMBCCMKT01,577,145,2016-10-05 14:57:19,25.13
BHMBCCMKT01,577,129,2016-10-05 15:30:15,22.36
BHMBCCMKT01,577,121,2016-10-05 16:04:18,20.97
BHMBCCMKT01,577,114,2016-10-05 16:30:17,19.76
BHMBCCMKT01,577,58,2016-10-06 7:57:25,10.05
BHMBCCMKT01,577,63,2016-10-06 8:30:20,10.92
BHMBCCMKT01,577,70,2016-10-06 8:57:22,12.13
BHMBCCMKT01,577,95,2016-10-06 9:30:20,16.46
BHMBCCMKT01,577,135,2016-10-06 10:03:20,23.4
BHMBCCMKT01,577,160,2016-10-06 10:30:20,27.73
BHMBCCMKT01,577,177,2016-10-06 10:57:20,30.68
BHMBCCMKT01,577,191,2016-10-06 11:30:22,33.1
BHMBCCMKT01,577,199,2016-10-06 12:04:24,34.49
BHMBCCMKT01,577,206,2016-10-06 12:30:24,35.7
BHMBCCMKT01,577,198,2016-10-06 12:57:21,34.32
BHMBCCMKT01,577,208,2016-10-06 13:30:21,36.05
BHMBCCMKT01,577,200,2016-10-06 13:57:22,34.66
BHMBCCMKT01,577,175,2016-10-06 14:30:23,30.33
BHMBCCMKT01,577,158,2016-10-06 15:04:22,27.38
BHMBCCMKT01,577,153,2016-10-06 15:31:22,26.52
BHMBCCMKT01,577,135,2016-10-06 16:04:23,23.4
BHMBCCMKT01,577,129,2016-10-06 16:30:27,22.36
BHMBCCMKT01,577,58,2016-10-07 8:03:27,10.05
BHMBCCMKT01,577,61,2016-10-07 8:30:27,10.57
BHMBCCMKT01,577,75,2016-10-07 9:04:13,13
BHMBCCMKT01,577,103,2016-10-07 9:30:27,17.85
BHMBCCMKT01,577,128,2016-10-07 9:57:27,22.18
BHMBCCMKT01,577,172,2016-10-07 10:30:27,29.81
BHMBCCMKT01,577,188,2016-10-07 10:57:30,32.58
BHMBCCMKT01,577,199,2016-10-07 11:30:28,34.49
BHMBCCMKT01,577,210,2016-10-07 12:03:29,36.4
BHMBCCMKT01,577,206,2016-10-07 12:30:28,35.7
BHMBCCMKT01,577,200,2016-10-07 13:04:28,34.66
BHMBCCMKT01,577,201,2016-10-07 13:30:29,34.84
BHMBCCMKT01,577,193,2016-10-07 14:03:28,33.45
BHMBCCMKT01,577,181,2016-10-07 14:30:32,31.37
BHMBCCMKT01,577,172,2016-10-07 15:04:30,29.81
BHMBCCMKT01,577,159,2016-10-07 15:30:32,27.56
BHMBCCMKT01,577,158,2016-10-07 15:57:31,27.38
BHMBCCMKT01,577,132,2016-10-07 16:30:29,22.88
BHMBCCMKT01,577,58,2016-10-08 7:57:38,10.05
BHMBCCMKT01,577,61,2016-10-08 8:30:37,10.57
BHMBCCMKT01,577,75,2016-10-08 8:57:34,13
BHMBCCMKT01,577,104,2016-10-08 9:30:37,18.02
BHMBCCMKT01,577,158,2016-10-08 10:04:34,27.38
BHMBCCMKT01,577,191,2016-10-08 10:30:34,33.1
BHMBCCMKT01,577,223,2016-10-08 10:57:34,38.65
BHMBCCMKT01,577,254,2016-10-08 11:30:38,44.02
BHMBCCMKT01,577,306,2016-10-08 12:04:34,53.03
BHMBCCMKT01,577,320,2016-10-08 12:30:36,55.46
